Matches, Wins, Losses, Draws
50, 16.00, 0.00, 84.00
100, 12.00, 0.00, 88.00
150, 10.00, 0.00, 90.00
200, 9.50, 0.00, 90.50
250, 8.40, 0.00, 91.60
300, 8.00, 0.00, 92.00
350, 7.71, 0.00, 92.29
400, 7.00, 0.00, 93.00
450, 6.89, 0.00, 93.11
500, 6.80, 0.00, 93.20
550, 6.73, 0.00, 93.27
600, 7.50, 0.00, 92.50
650, 7.23, 0.00, 92.77
700, 7.00, 0.00, 93.00
750, 7.07, 0.00, 92.93
800, 7.13, 0.00, 92.88
850, 7.06, 0.00, 92.94
900, 7.44, 0.00, 92.56
950, 7.37, 0.00, 92.63
1000, 7.40, 0.00, 92.60
