Matches, Player 1, Player 2
40, 12.50, 2.50
80, 7.50, 2.50
120, 7.50, 3.33
160, 7.50, 6.25
200, 8.00, 6.00
240, 9.58, 6.25
280, 8.93, 6.79
320, 9.38, 7.50
360, 8.89, 7.78
400, 9.00, 8.25
440, 8.64, 8.41
480, 8.33, 8.13
520, 8.27, 7.69
560, 8.57, 8.04
600, 8.17, 8.33
640, 7.97, 8.13
680, 7.79, 8.24
720, 7.92, 8.47
760, 8.03, 8.55
800, 8.13, 8.38
840, 8.21, 8.10
880, 8.18, 7.95
920, 8.48, 8.04
960, 8.65, 7.92
1000, 8.60, 7.90
1040, 8.75, 7.69
1080, 8.70, 7.87
1120, 8.48, 8.04
1160, 8.36, 8.02
1200, 8.17, 8.33
1240, 8.31, 8.47
1280, 8.20, 8.20
1320, 8.03, 8.41
1360, 8.16, 8.38
1400, 8.07, 8.43
1440, 7.99, 8.40
1480, 8.18, 8.31
1520, 8.29, 8.22
1560, 8.27, 8.27
1600, 8.19, 8.25
1640, 8.23, 8.11
1680, 8.27, 8.04
1720, 8.31, 8.08
1760, 8.24, 8.01
1800, 8.44, 8.11
1840, 8.48, 8.04
1880, 8.40, 8.03
1920, 8.39, 8.07
1960, 8.37, 8.01
2000, 8.30, 8.05
